Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.14166, 1070700, 6, 7, 11044, 22906, 31793, 2.67766, 0.323092, 0.240963, 5
8.27063, 1070701, 4, 6, 5911, 11360, 27574, 2.52511, 0.0991386, 0.822256, 8
8.41954, 1070702, 4, 4, 554, 1277, 1402, 2.70468, 0.49975, 0.0210337, 18
8.22035, 1070703, 4, 5, 1689, 2368, 2755, 3.0503, 0.255319, 0.296496, 16
8.29106, 1070704, 5, 5, 1949, 5567, 8835, 2.58843, 0.440241, 0.424302, 16
8.34703, 1070705, 3, 3, 223, 564, 982, 1.14213, 0.424284, 0.956655, 15
8.37493, 1070706, 5, 5, 961, 2260, 4208, 3.30565, 0.234935, 0.167762, 7
8.33348, 1070707, 3, 3, 249, 552, 1479, 2.37728, 0.737513, 0.832449, 16
8.2498, 1070708, 5, 6, 3009, 5983, 15201, 3.32774, 0.248974, 0.705247, 11
8.14551, 1070709, 6, 7, 7214, 10721, 31839, 3.44853, 0.454072, 0.161377, 3
8.15311, 1070710, 4, 7, 10691, 23882, 64144, 3.75229, 0.965694, 0.997479, 13
8.33544, 1070711, 4, 5, 2411, 2551, 5804, 1.57254, 0.703154, 0.465715, 6
8.41354, 1070712, 4, 4, 543, 1283, 3275, 1.06378, 0.570318, 0.493277, 14
8.20425, 1070713, 3, 5, 2562, 5938, 17523, 1.33603, 0.993754, 0.5816, 11
8.30628, 1070714, 4, 5, 1732, 3055, 3523, 2.17042, 0.525057, 0.633983, 12
8.26894, 1070715, 7, 7, 7315, 19635, 35984, 1.6861, 0.668998, 0.148005, 11
8.33438, 1070716, 6, 7, 9510, 12772, 20281, 1.84486, 0.155288, 0.875731, 12
8.49061, 1070717, 3, 3, 189, 552, 718, 2.31278, 0.0143157, 0.407795, 17
8.23332, 1070718, 5, 7, 11968, 22212, 39826, 1.66988, 0.450585, 0.622867, 3
8.25081, 1070719, 7, 7, 3799, 5486, 9504, 1.3967, 0.259665, 0.551877, 7
8.27229, 1070720, 3, 6, 2783, 6039, 14629, 1.18039, 0.779403, 0.255643, 13
8.24068, 1070721, 3, 3, 112, 184, 282, 3.87055, 0.552113, 0.132797, 2
8.41493, 1070722, 6, 6, 2182, 3829, 5827, 3.55283, 0.737889, 0.55094, 11
8.21983, 1070723, 7, 7, 2987, 3189, 7423, 2.68981, 0.71646, 0.466126, 3
