Best Score, SEED, HMIN, HMAX, T, TMAX, MMAX, alpha, beta, gamma, LAMBDA
8.17433, 1070566, 3, 7, 10443, 21967, 27243, 3.1999, 0.519535, 0.138576, 10
8.39065, 1070567, 3, 3, 119, 199, 446, 2.15164, 0.179487, 0.488744, 9
8.28082, 1070568, 3, 3, 95, 304, 632, 3.7336, 0.576778, 0.461886, 16
8.23848, 1070569, 3, 6, 4158, 12500, 33999, 2.17797, 0.83001, 0.726944, 13
8.34099, 1070570, 3, 3, 114, 201, 546, 3.0836, 0.154263, 0.770441, 10
8.2017, 1070571, 3, 3, 102, 187, 460, 1.69849, 0.970157, 0.116574, 3
8.23192, 1070572, 4, 5, 2450, 6991, 11028, 1.24597, 0.165464, 0.214165, 9
8.41091, 1070573, 6, 6, 2395, 3322, 6303, 1.38903, 0.992974, 0.624524, 19
8.36222, 1070574, 4, 4, 325, 387, 705, 3.84534, 0.621319, 0.032116, 7
8.42088, 1070575, 3, 4, 548, 1269, 3569, 2.16784, 0.620623, 0.223507, 2
8.34308, 1070576, 7, 7, 4197, 5434, 10668, 3.88494, 0.501947, 0.0339759, 7
8.21944, 1070577, 3, 6, 5854, 17471, 23202, 3.41745, 0.540288, 0.195086, 10
8.20875, 1070578, 4, 7, 10319, 26384, 41375, 1.73279, 0.721733, 0.935874, 15
8.29617, 1070579, 3, 6, 6632, 11790, 21548, 2.22652, 0.46052, 0.564513, 15
8.29174, 1070580, 3, 3, 269, 717, 2054, 3.75258, 0.95519, 0.987607, 12
8.2237, 1070581, 5, 6, 5748, 6693, 6935, 3.15917, 0.0853551, 0.464766, 2
8.35868, 1070582, 5, 5, 1174, 1628, 2546, 3.64124, 0.741853, 0.40304, 20
8.35927, 1070583, 3, 4, 721, 2012, 4601, 1.98251, 0.818281, 0.799204, 5
8.25604, 1070584, 3, 7, 11029, 28323, 71491, 2.85978, 0.276111, 0.49213, 21
8.14372, 1070585, 5, 6, 4654, 6730, 11498, 2.54743, 0.856291, 0.867083, 13
8.28426, 1070586, 5, 6, 2382, 3001, 4626, 2.23254, 0.0587088, 0.274132, 2
8.28191, 1070587, 3, 4, 900, 1393, 2674, 1.84468, 0.196955, 0.09821, 15
8.45143, 1070588, 5, 5, 1387, 2970, 6781, 1.49421, 0.991165, 0.400077, 6
8.40194, 1070589, 3, 5, 1267, 2022, 5780, 2.59369, 0.284549, 0.48375, 9
8.23399, 1070590, 6, 6, 3342, 4758, 7646, 3.44657, 0.0215487, 0.252275, 19
8.28422, 1070591, 6, 7, 6196, 12984, 25854, 1.22627, 0.464575, 0.754502, 19
8.36287, 1070592, 5, 7, 5602, 9174, 16787, 2.21714, 0.112376, 0.265244, 6
8.20065, 1070593, 3, 5, 1763, 4693, 8732, 3.06031, 0.784626, 0.306079, 9
8.34548, 1070594, 3, 6, 2865, 5354, 9792, 3.66445, 0.346898, 0.957014, 3
8.40836, 1070595, 3, 4, 391, 879, 1207, 2.3674, 0.814417, 0.0289136, 12
8.32767, 1070596, 7, 7, 6675, 14352, 41582, 1.16069, 0.78026, 0.919292, 6
8.26152, 1070597, 4, 7, 11428, 32570, 48210, 1.43987, 0.581694, 0.523924, 11
8.25861, 1070598, 4, 6, 2702, 6785, 15306, 2.44086, 0.650307, 0.145593, 21
8.21077, 1070599, 3, 7, 9025, 26440, 67898, 1.88072, 0.435153, 0.362909, 14
8.20568, 1070600, 3, 7, 14365, 14420, 32422, 1.79632, 0.573662, 0.320276, 8
8.36253, 1070601, 3, 4, 701, 1250, 1481, 1.19188, 0.824669, 0.0372835, 5
8.47754, 1070602, 6, 6, 1987, 3042, 6306, 2.74218, 0.38271, 0.618343, 7
8.21946, 1070603, 7, 7, 3228, 9003, 10050, 3.92267, 0.844345, 0.160486, 10
8.3402, 1070604, 3, 6, 5751, 11480, 34038, 2.49264, 0.374253, 0.948098, 2
8.56407, 1070605, 3, 4, 857, 2256, 3119, 1.53788, 0.976778, 0.208632, 15
8.14759, 1070606, 7, 7, 5743, 13014, 30334, 3.35409, 0.783304, 0.928536, 19
